Timestamp,studentID,work_time,necessity_scale,open_reason,study_time,activities,activities_status,student_status,supportiveness,influence_scale,favorite_activity,travel_time,work_time2,study_time2,influence_scale2,supportiveness2
10/13/2024 18:41:27,Biostatistics765,0,3,O,6,N,0,D,0,1,A,22.5,0,1,1,0
10/13/2024 21:05:23,AdditiveModel997,1.5,4,O,3,"SF, AA",1,I,3,1,S,60,1,0,1,1
10/14/2024 0:28:18,HappyTent723,0,3,O,3,SF,1,D,3,3,S,45,0,0,1,1
10/14/2024 4:42:18,Doodle239,0,4,R,1,AA,1,D,3,0,M,45,0,0,0,1
10/15/2024 0:51:54,ComputationalStatistics943,0,5,G,3,SF,1,I,3,1,A,22.5,0,0,1,1
10/15/2024 10:44:48,Doodle087,0,4,O,3,SF,1,D,2,0,S,22.5,0,0,0,1
10/15/2024 15:48:10,nightcafe,0.5,4,R,3,N,0,D,3,0,S,60,1,0,0,1
10/16/2024 0:37:48,AdditiveModel996,0,4,R,1,SF,1,D,3,0,S,45,0,0,0,1
10/16/2024 18:04:01,NeedPiazza222,0,4,O,6,AC,1,D,3,0,M,22.5,0,1,0,1
10/16/2024 20:11:38,HonkaiStarRail,1.5,3,O,3,SF,1,I,3,1,S,7.5,1,0,1,1
10/16/2024 22:14:41,1008078704,0,3,O,5,N,0,I,3,3,M,45,0,1,1,1
10/16/2024 22:39:27,justsayin093,0,3,R,3,N,0,I,3,3,M,45,0,0,1,1
10/17/2024 9:31:01,GiveA,1.5,5,PS,3,SF,1,D,3,3,A,45,1,0,1,1
10/17/2024 10:44:39,WowWowWow986,0.5,3,O,5,SF,1,I,3,3,A,22.5,1,1,1,1
10/17/2024 19:08:42,MathlsBetter258,0,4,R,1,N,0,I,2,0,M,22.5,0,0,0,1
10/18/2024 10:27:23,Biostatistics923,0,3,O,5,SF,1,D,2,2,S,22.5,0,1,1,1
10/18/2024 12:40:16,Sta304 Jiaxi Yin 1005490899,0,3,O,5,"SF, CV",1,I,3,0,S,22.5,0,1,0,1
10/18/2024 14:06:05,Project 123,0,3,O,3,N,0,I,3,3,S,22.5,0,0,1,1
10/18/2024 17:22:04,Money,0,2,O,1,N,0,I,3,0,S,22.5,0,0,0,1
10/18/2024 18:42:50,project024,0,3,O,3,SF,1,I,0,0,S,7.5,0,0,0,0
10/18/2024 21:45:45,Sajidsoh,1.5,5,O,3,SF,1,D,3,0,S,7.5,1,0,0,1
10/18/2024 22:05:07,WowWowWow783,0,5,PS,3,SF,1,D,3,0,S,7.5,0,0,0,1
10/19/2024 11:44:37,ElonMusk,1.5,1,T,3,AC,1,D,2,2,P,45,1,0,1,1
10/19/2024 14:38:21,TryingTo,3.5,1,T,3,SF,1,D,3,3,A,60,1,0,1,1
10/19/2024 17:27:31,veggie349,0,4,R,1,SF,1,I,3,2,S,7.5,0,0,1,1
10/19/2024 17:27:31,veggie647,0,4,T,6,"CV, AA",1,D,3,3,A,22.5,0,1,1,1
